id,name,category,desc,ticket,duration,lat,lng,rating,tags,stay_detail,gmaps_url,source
gunung-batumaseuk,Gunung Batumaseuk,Alam,,,,-6.995833,107.461944,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Batumaseuk%2C%20Bandung,osm
pasir-wangun,Pasir Wangun,Alam,,,,-6.979722,107.363056,,"['mt', 'peak', 'modify_date:_2007-05-17']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Wangun%2C%20Bandung,osm
gunung-puncaklingga,Gunung Puncaklingga,Alam,,,,-7.095278,107.498889,,"['mt', 'peak', 'modify_date:_2003-07-31']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Puncaklingga%2C%20Bandung,osm
gunung-tilu,Gunung Tilu,Alam,,,,-7.1063,107.3861,,"['1905', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Tilu%2C%20Bandung,osm
gunung-maud,Gunung Maud,Alam,,,,-7.2225,107.4873,,"['mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Maud%2C%20Bandung,osm
pasir-maung,Pasir Maung,Alam,,,,-7.1122,107.8312,,"['mt', 'peak', 'modify_date:_2008-05-09']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Maung%2C%20Bandung,osm
gunung-sirahcikancung,Gunung Sirahcikancung,Alam,,,,-7.0329,107.8381,,"['mt', 'peak', 'modify_date:_2008-05-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Sirahcikancung%2C%20Bandung,osm
gunung-gagak,Gunung Gagak,Alam,,,,-7.212778,107.731389,,"['mt', 'peak', 'modify_date:_2004-09-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Gagak%2C%20Bandung,osm
gunung-karang,Gunung Karang,Alam,,,,-6.818056,107.462778,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Karang%2C%20Bandung,osm
gunung-kencana,Gunung Kencana,Alam,,,,-6.765,107.868333,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kencana%2C%20Bandung,osm
pasir-kolecer,Pasir Kolecer,Alam,,,,-6.803889,107.431389,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Kolecer%2C%20Bandung,osm
gunung-gadung,Gunung Gadung,Alam,,,,-7.0274,107.4869,,"['mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Gadung%2C%20Bandung,osm
pasir-bojongloa,Pasir Bojongloa,Alam,,,,-6.795833,107.494722,,"['mt', 'peak', 'modify_date:_2002-09-24']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Bojongloa%2C%20Bandung,osm
gunung-dogdog,Gunung Dogdog,Alam,,,,-6.8112933,107.8365638,,"['970', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Dogdog%2C%20Bandung,osm
pasir-goong,Pasir Goong,Alam,,,,-6.894167,107.393611,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Goong%2C%20Bandung,osm
pasir-tonjong,Pasir Tonjong,Alam,,,,-6.795556,107.439444,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Tonjong%2C%20Bandung,osm
gunung-cakra,Gunung Cakra,Alam,,,,-7.1325,107.8173,,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cakra%2C%20Bandung,osm
gunung-kerud,Gunung Kerud,Alam,,,,-7.0083,107.4806,,"['mt', 'peak', 'modify_date:_2008-03-26']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kerud%2C%20Bandung,osm
pasir-bengkung,Pasir Bengkung,Alam,,,,-6.7875,107.500278,,"['1040', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Bengkung%2C%20Bandung,osm
gunung-aul,Gunung Aul,Alam,,,,-7.012222,107.485278,,"['mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Aul%2C%20Bandung,osm
gunung-kufa,Gunung Kufa,Alam,,,,-7.228056,107.743611,,"['mt', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kufa%2C%20Bandung,osm
gunung-masigit,Gunung Masigit,Alam,,,,-6.8125,107.585,,"['1274', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Masigit%2C%20Bandung,osm
gunung-orem,Gunung Orem,Alam,,,,-6.785833,107.733333,,"['1322', 'hll', 'peak', 'modify_date:_2002-09-23']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Orem%2C%20Bandung,osm
